column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
EBITDA (Quarter),1040339999999.9999,1016290000000.0,2154940000000.0,1421700000000.0,1486010000000.0,46160000000.0,1846410000000.0,623070000000.0,1048930000000.0001,952570000000.0,1004180000000.0,898550000000.0,1318630000000.0,525980000000.0,388480000000.0,0.0,824270000000.0,702220000000.0,567540000000.0,47290000000.0,1150290000000.0,793600000000.0,705490000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTM
Return on Assets (Quarter),0.027000000000000003,0.0062,0.047599999999999996,0.0355,0.0326,0.0019,0.04650000000000001,0.0046,0.0165,0.016399999999999998,0.0193,0.0099,0.0242,0.0122,-0.0092,-0.0122,0.006,0.0058,0.0051,0.0073,0.0087,0.0032,0.0079,0.015600000000000001,0.0054,-0.0166,0.0002,0.0009,0.0009,0.0002,0.0002,-0.013300000000000001,-0.0259,-0.0069,-0.0105,-0.0096,0.0033000000000000004,-0.0177,-0.012700000000000001,0.0028000000000000004,-0.0012,-0.0044,0.0232,0.12,0.009000000000000001,0.0062,0.024300000000000002,0.024300000000000002,0.0444,0.05480000000000001,0.0275,0.05940000000000001,0.0178,0.052199999999999996,0.0199,0.031200000000000002,0.0067,0.0131,0.0086,-0.024700000000000003,0.0149,0.061500000000000006,0.0563,0.0,ANTM
Return on Equity (Quarter),0.039,0.0096,0.06570000000000001,0.0504,0.0488,0.0028000000000000004,0.06570000000000001,0.0073,0.027000000000000003,0.0267,0.0318,0.0165,0.039700000000000006,0.0203,-0.015600000000000001,-0.0203,0.0098,0.0098,0.0086,0.0123,0.015,0.005200000000000001,0.0131,0.0253,0.0091,-0.0281,0.0004,0.0014000000000000002,0.0015,0.0003,0.0003,-0.022000000000000002,-0.047599999999999996,-0.013500000000000002,-0.020499999999999997,-0.0177,0.0062,-0.030299999999999997,-0.0219,0.0048,-0.002,-0.006999999999999999,0.0348,0.1843,0.014499999999999999,0.0094,0.034,0.034300000000000004,0.0514,0.06849999999999999,0.0349,0.0764,0.0213,0.0641,0.024,0.038,0.0086,0.0168,0.010900000000000002,-0.031400000000000004,0.019,0.09720000000000001,0.07150000000000001,0.0,ANTM
Return on Capital Employed (Quarter),0.0371,0.0148,0.0676,0.0443,0.049,-0.0059,0.0611,0.0154,0.0336,0.029900000000000003,0.0326,0.0233,0.0379,0.0124,0.0055000000000000005,-0.0108,0.0183,0.0159,0.011000000000000001,-0.0031,0.0348,0.0219,0.0192,0.0149,0.0187,-0.0058,-0.0033000000000000004,0.0078000000000000005,0.0022,-0.0078000000000000005,-0.002,-0.021400000000000002,-0.0154,0.0025,0.003,-0.0033000000000000004,0.0014000000000000002,-0.0028000000000000004,-0.0054,-0.0029,0.005,-0.0025,0.0253,0.0176,0.0161,0.0034999999999999996,0.024300000000000002,0.0063,0.061500000000000006,0.07690000000000001,0.0452,0.0678,0.0188,0.0792,0.037000000000000005,0.027000000000000003,0.0151,0.015500000000000002,0.005699999999999999,-0.0356,0.0069,0.10300000000000001,0.17170000000000002,0.0,ANTM
Interest Coverage (Quarter),6.11,13.71,27.56,4.76,66.16,-1.41,40.65,5.85,795.56,12.99,3.38,3.5,2.81,0.39,0.12,-1.82,4.35,2.65,2.79,-0.63,6.27,3.78,3.74,1.86,4.4,-0.74,-0.79,4.12,0.45,-2.97,-0.68,-6.1,-6.57,0.52,2.16,-3.4,0.55,-1.31,-3.47,-1.54,3.3,-16.87,6.09,5.32,3.98,0.8,5.39,5.32,3056.21,220.22,122.83,220.69,70.76,212.24,97.36,27.59,14.62,11.26,3.48,-19.29,7.73,111.17,64.2,0.0,ANTM
Share Outstanding,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,23960000000.0,22970000000.0,22970000000.0,22970000000.0,4590000000.0,4590000000.0,0.0,PGAS
EPS (Quarter),36.89,36.77,53.16,14.72,48.66,76.24,70.21,9.87,51.2,80.87,37.01,-184.63,28.81,-28.29,32.26,-36.73,43.96,-6.73,38.25,47.85,47.62,41.12,45.6,25.51,26.87,-25.58,53.21,38.92,46.87,27.77,55.12,43.1,60.18,65.98,59.05,72.8,116.39,98.62,83.11,125.64,119.98,81.02,106.37,109.65,85.46,55.77,104.49,58.86,51.54,47.68,86.67,65.73,63.89,61.62,75.39,77.21,51.79,84.63,55.65,-48.11,20.63,182.62,130.05,0.0,PGAS
PE Ratio (Quarter),37.27,35.49,25.96,119.57,36.07,20.86,20.01,139.31,23.24,12.43,35.53,-8.96,32.11,-40.12,24.02,-59.08,47.77,-313.52,61.44,44.31,47.25,48.52,50.44,68.6,58.62,-87.96,47.55,69.37,61.23,84.26,47.44,63.69,42.04,65.4,81.29,82.42,51.55,56.53,61.67,35.62,43.34,70.97,55.94,41.95,48.27,63.21,36.37,53.94,51.9,84.42,45.0,67.32,60.26,62.89,56.37,50.51,70.48,37.22,38.63,-38.66,105.43,71.19,108.8,0.0,PGAS
Price to Sales (Quarter),2.23,2.48,2.39,2.77,2.97,2.78,2.83,3.01,2.63,2.3,2.98,5.0,2.02,4.1,1.31,3.85,3.5,3.92,4.65,2.63,4.15,3.9,5.08,3.85,3.67,6.16,6.17,5.73,7.69,6.03,6.63,6.05,4.92,10.71,12.77,12.42,13.97,12.65,12.94,9.82,11.73,18.09,20.3,15.09,15.8,14.6,17.24,14.35,13.52,20.91,19.94,20.69,18.45,18.65,22.97,20.96,19.63,16.67,11.03,11.32,15.63,19.53,23.48,0.0,PGAS
EBITDA (Quarter),3801130000000.0,3978720000000.0,3895020000000.0,4573620000000.0,4123250000000.0,4632840000000.0,3950730000000.0,2995930000000.0,2849700000000.0,3481390000000.0,2710110000000.0,113090000000.0,4008920000000.0,745800000000.0,4035160000000.0,4708900000000.0,4147029999999.9995,3041720000000.0,2840070000000.0,5510190000000.0,4476390000000.0,4783060000000.0,2119780000000.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PGAS
Return on Assets (Quarter),0.0086,0.0086,0.0117,0.0032,0.0105,0.0172,0.016,0.0022,0.0115,0.0179,0.008199999999999999,-0.042699999999999995,0.0062,-0.0063,0.006,-0.0087,0.0103,-0.0016,0.0087,0.0101,0.0116,0.010700000000000001,0.0124,0.0073,0.0077,-0.0074,0.0139,0.0103,0.013000000000000001,0.0078000000000000005,0.0152,0.0117,0.0161,0.020800000000000003,0.0178,0.022799999999999997,0.0426,0.0358,0.033,0.0572,0.0665,0.0538,0.06480000000000001,0.0703,0.059800000000000006,0.0418,0.0765,0.0461,0.042699999999999995,0.0363,0.0674,0.0497,0.0509,0.0484,0.0616,0.0653,0.0455,0.0721,0.045599999999999995,-0.0432,0.0216,0.0378,0.0285,0.0,PGAS
Return on Equity (Quarter),0.0221,0.0232,0.0315,0.0087,0.029500000000000002,0.048499999999999995,0.044800000000000006,0.006600000000000001,0.034300000000000004,0.0555,0.0269,-0.1442,0.018500000000000003,-0.0191,0.0184,-0.025,0.028900000000000002,-0.0046,0.0246,0.0311,0.0234,0.021400000000000002,0.0248,0.0144,0.0154,-0.0151,0.029700000000000004,0.0222,0.0281,0.017,0.0322,0.025099999999999997,0.0342,0.042300000000000004,0.0367,0.0513,0.0883,0.0835,0.0776,0.0981,0.10800000000000001,0.09210000000000002,0.1079,0.1251,0.1121,0.0833,0.1373,0.0901,0.08720000000000001,0.08869999999999999,0.1322,0.1149,0.1259,0.1374,0.1365,0.1595,0.1253,0.2258,0.1499,-0.1562,0.0632,0.12,0.0855,0.0,PGAS
Return on Capital Employed (Quarter),0.0232,0.0256,0.0219,0.0197,0.0234,0.030299999999999997,0.0236,0.0141,0.0171,0.0179,0.0154,-0.0163,0.027999999999999997,-0.0084,0.0288,0.0308,0.0319,0.0069,0.0253,0.0386,0.024,0.0209,0.0246,0.0191,0.0163,0.0031,0.0259,0.0106,0.021400000000000002,0.0173,0.0263,0.0198,0.0308,0.0267,0.029700000000000004,0.0453,0.05480000000000001,0.0725,0.0653,0.0809,0.0922,0.0655,0.07780000000000001,0.0716,0.08140000000000001,0.0817,0.08960000000000001,0.0609,0.0786,0.06860000000000001,0.0819,0.0753,0.0976,0.0992,0.0827,0.07200000000000001,0.0836,0.0818,0.0864,0.0545,0.0629,0.0633,0.1211,0.0,PGAS
Interest Coverage (Quarter),4.82,4.93,5.08,3.36,4.37,5.85,4.49,2.66,3.09,2.58,2.68,-2.86,4.26,-1.45,4.58,4.52,5.21,1.01,3.62,4.44,4.46,3.11,4.99,2.72,3.02,0.39,5.44,1.41,5.14,2.81,5.62,3.93,5.14,3.75,7.05,7.06,12.63,17.32,32.18,31.17,46.16,73.41,43.64,45.74,46.79,44.88,51.54,26.24,35.27,51.53,26.5,20.37,28.29,27.12,22.22,14.24,14.46,13.99,12.55,7.34,9.07,9.58,8.33,0.0,PGAS
Share Outstanding,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,0.0,PTBA
EPS (Quarter),87.12,139.98,100.94,222.75,333.72,336.9,197.51,272.65,259.48,110.95,43.45,57.17,38.14,33.47,78.4,82.95,94.87,75.61,98.71,94.96,117.49,97.66,125.96,160.63,391.44,370.24,377.94,414.24,147.54,164.57,144.34,230.16,308.32,197.4,147.71,188.42,184.88,268.97,232.76,252.81,162.1,163.59,214.04,305.77,277.79,298.66,376.43,331.09,309.09,369.1,329.98,268.59,207.89,232.35,158.72,216.71,276.65,291.92,399.25,171.49,265.52,182.85,124.29,0.0,PTBA
PE Ratio (Quarter),32.14,19.15,39.53,16.57,12.5,11.34,16.66,9.94,10.64,18.03,60.3,49.15,51.65,60.35,27.81,32.07,23.82,39.15,42.55,45.28,36.77,40.65,23.34,15.31,26.7,32.28,34.93,30.18,65.24,46.79,43.47,19.66,18.24,42.55,72.78,66.34,71.4,39.87,40.06,40.35,78.66,81.3,67.28,49.38,58.32,49.05,54.46,52.4,54.35,56.35,63.64,85.45,93.56,74.24,109.63,79.6,50.97,39.74,16.91,40.24,35.21,89.69,80.86,0.0,PTBA
Price to Sales (Quarter),3.63,3.47,4.62,3.67,3.8,4.31,4.62,3.16,3.5,3.66,7.56,7.23,5.92,5.98,4.9,5.54,4.62,6.46,9.07,9.65,9.03,9.58,5.89,4.54,5.66,6.23,6.69,7.17,6.75,5.52,4.08,3.23,3.25,5.98,7.56,8.42,9.42,7.41,6.95,7.62,10.92,11.54,11.95,12.11,12.73,12.19,15.63,14.14,14.69,17.09,20.9,26.34,21.27,19.74,22.5,16.61,15.82,12.31,6.67,7.07,10.36,22.84,18.76,0.0,PTBA
EBITDA (Quarter),2027930000000.0,2056840000000.0002,1728730000000.0,3496950000000.0,5279070000000.0,4696230000000.0,3215160000000.0,3982970000000.0,4270160000000.0,2066230000000.0,750550000000.0,998890000000.0,693530000000.0,530340000000.00006,1328640000000.0,1136640000000.0,1712800000000.0,1355580000000.0,1592860000000.0,1293760000000.0,1858150000000.0,1621210000000.0,2227700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PTBA
Return on Assets (Quarter),0.0279,0.0348,0.025099999999999997,0.056600000000000004,0.09330000000000001,0.1081,0.0584,0.087,0.0929,0.04730000000000001,0.0204,0.027400000000000004,0.0179,0.0143,0.0326,0.0366,0.0433,0.037200000000000004,0.0458,0.0453,0.0602,0.0545,0.061399999999999996,0.0842,0.0463,0.045700000000000005,0.044500000000000005,0.0514,0.0197,0.022799999999999997,0.0198,0.031400000000000004,0.044000000000000004,0.029900000000000003,0.0222,0.029300000000000003,0.030299999999999997,0.0512,0.0441,0.0499,0.032799999999999996,0.0361,0.0367,0.0553,0.05480000000000001,0.0616,0.0695,0.0663,0.06730000000000001,0.0785,0.0767,0.0709,0.0579,0.0692,0.0426,0.0618,0.0851,0.09519999999999999,0.1226,0.0647,0.11570000000000001,0.09550000000000002,0.0684,0.0,PTBA
Return on Equity (Quarter),0.052199999999999996,0.0882,0.0395,0.0894,0.1472,0.1729,0.08650000000000001,0.1306,0.1438,0.0738,0.0288,0.0393,0.0268,0.0244,0.045700000000000005,0.052300000000000006,0.0638,0.0543,0.0658,0.0683,0.09210000000000002,0.0885,0.09730000000000001,0.136,0.0708,0.0721,0.07780000000000001,0.0916,0.0359,0.0417,0.0352,0.057800000000000004,0.0757,0.0524,0.0415,0.050800000000000005,0.053,0.0816,0.0768,0.07830000000000001,0.056900000000000006,0.061200000000000004,0.055400000000000005,0.0837,0.0763,0.08689999999999999,0.0968,0.0943,0.0942,0.12400000000000001,0.1066,0.09720000000000001,0.08109999999999999,0.0987,0.0602,0.0876,0.11900000000000001,0.14250000000000002,0.18710000000000002,0.09880000000000001,0.1638,0.1348,0.0928,0.0,PTBA
Return on Capital Employed (Quarter),0.0506,0.0558,0.0375,0.0931,0.1649,0.1475,0.09609999999999999,0.1338,0.1684,0.08539999999999999,0.025099999999999997,0.0344,0.0225,0.0143,0.0484,0.0447,0.0756,0.0592,0.0712,0.059000000000000004,0.094,0.0834,0.1126,0.1307,0.0788,0.085,0.0877,0.0901,0.033,0.0369,0.037700000000000004,0.051500000000000004,0.07769999999999999,0.047599999999999996,0.0322,0.04070000000000001,0.0437,0.078,0.0724,0.0717,0.0467,0.046200000000000005,0.0525,0.0884,0.081,0.0861,0.09970000000000001,0.08650000000000001,0.1038,0.12369999999999999,0.1182,0.0909,0.0855,0.091,0.0611,0.0906,0.1484,0.1591,0.2261,0.1606,0.20579999999999998,0.1589,0.2227,0.0,PTBA
Interest Coverage (Quarter),22.55,26.03,28.71,33.97,105.95,110.92,116.81,44.07,162.22,74.42,19.17,24.67,12.44,9.24,30.06,38.73,17.39,31.14,49.96,34.21,2435.09,40.47,60.36,58.77,39.04,23.55,21.79,32.57,12.44,14.78,9.66,20.05,13.85,16.97,12.06,12.89,57.76,219.41,358.41,337.62,313.94,299.59,445.32,255.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PTBA
Share Outstanding,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,50780000000.0,50780000000.0,50780000000.0,50780000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,10160000000.0,0.0,KLBF
EPS (Quarter),11.43,14.36,18.26,19.13,18.1,17.11,17.81,19.11,16.86,16.66,15.28,15.06,13.65,15.32,14.28,12.61,14.02,14.15,12.69,13.92,12.56,13.36,12.57,13.32,12.01,13.4,12.55,12.74,11.87,12.44,12.02,10.77,9.3,11.4,11.28,12.33,10.54,10.66,10.52,11.81,8.75,9.41,8.74,9.68,42.86,39.78,39.71,41.08,38.38,35.38,31.11,39.57,33.48,32.0,27.26,33.77,23.39,21.82,24.38,22.99,18.55,20.28,19.46,0.0,KLBF
PE Ratio (Quarter),153.54,142.76,115.01,109.25,101.1,97.02,90.4,84.51,84.82,84.03,102.75,98.27,113.55,95.3,84.03,128.47,119.47,103.18,119.78,109.2,109.87,91.32,119.33,126.88,138.63,121.27,122.71,118.92,144.48,122.99,120.22,122.56,147.85,146.93,165.34,148.42,161.29,155.72,139.26,105.84,134.86,153.03,141.88,109.5,109.66,94.9,89.4,82.77,84.68,95.39,109.29,82.13,76.16,65.62,68.6,38.5,56.86,46.29,25.43,17.4,35.04,41.91,50.36,0.0,KLBF
Price to Sales (Quarter),11.14,13.15,12.51,12.64,11.74,11.34,10.76,10.57,9.96,10.33,12.23,11.53,13.23,11.78,9.71,13.08,13.9,11.77,13.28,13.2,12.21,10.66,14.02,15.56,15.54,14.74,14.74,14.21,16.68,14.33,14.89,13.0,14.62,17.55,20.59,18.61,18.2,18.04,16.89,12.84,14.91,18.6,18.04,13.65,13.84,11.84,12.0,10.72,12.03,13.2,14.68,11.17,10.09,8.47,8.68,5.09,5.93,4.6,3.17,1.88,3.35,4.31,5.71,0.0,KLBF
EBITDA (Quarter),833100000000.0,1068670000000.0001,1329710000000.0,1329850000000.0,1245500000000.0,1150260000000.0,1220310000000.0,1353220000000.0,1172330000000.0,1109710000000.0,1075170000000.0001,1165110000000.0,1005850000000.0,1052490000000.0,969100000000.0,948250000000.0,1000950000000.0,983220000000.0,885630000000.0,1027020000000.0,906400000000.0,945800000000.0,897460000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KLBF
Return on Assets (Quarter),0.0197,0.0246,0.030299999999999997,0.0329,0.032400000000000005,0.0317,0.0311,0.0349,0.0326,0.0334,0.029900000000000003,0.0313,0.0285,0.0325,0.0302,0.0292,0.0335,0.0352,0.031000000000000003,0.036000000000000004,0.0336,0.035,0.034100000000000005,0.0376,0.0347,0.0382,0.037000000000000005,0.0392,0.0379,0.040999999999999995,0.039,0.0369,0.0329,0.042,0.0406,0.04650000000000001,0.041100000000000005,0.0406,0.0424,0.0489,0.0425,0.044000000000000004,0.0451,0.052199999999999996,0.049800000000000004,0.0442,0.0464,0.0504,0.0519,0.0455,0.042,0.0571,0.0509,0.04730000000000001,0.0418,0.0529,0.0379,0.0332,0.0405,0.0409,0.0327,0.0363,0.0362,0.0,KLBF
Return on Equity (Quarter),0.0259,0.0335,0.0404,0.044000000000000004,0.04360000000000001,0.0421,0.0412,0.0458,0.0426,0.04360000000000001,0.0391,0.0406,0.0375,0.044000000000000004,0.04070000000000001,0.037200000000000004,0.0429,0.0452,0.0391,0.0446,0.0422,0.047,0.0425,0.047,0.044500000000000005,0.0519,0.0471,0.0501,0.0493,0.0543,0.051100000000000007,0.0483,0.0435,0.0558,0.0533,0.0616,0.056100000000000004,0.0602,0.05740000000000001,0.06820000000000001,0.0588,0.0674,0.0592,0.0696,0.0663,0.0658,0.0608,0.0671,0.06730000000000001,0.0665,0.055400000000000005,0.0748,0.06820000000000001,0.0699,0.060599999999999994,0.0796,0.05940000000000001,0.0567,0.0663,0.0644,0.054400000000000004,0.05940000000000001,0.0582,0.0,KLBF
Return on Capital Employed (Quarter),0.0302,0.0381,0.0495,0.051,0.049100000000000005,0.043899999999999995,0.0468,0.054900000000000004,0.048499999999999995,0.0463,0.045,0.0518,0.0452,0.049100000000000005,0.0455,0.047,0.0524,0.0525,0.04730000000000001,0.0589,0.053200000000000004,0.0563,0.0534,0.0611,0.056900000000000006,0.061399999999999996,0.0584,0.0626,0.0632,0.0668,0.0626,0.060599999999999994,0.056900000000000006,0.0663,0.06620000000000001,0.0786,0.0731,0.0759,0.0722,0.08560000000000001,0.0789,0.0817,0.0741,0.0891,0.0795,0.0755,0.0751,0.08779999999999999,0.0866,0.0755,0.06860000000000001,0.0886,0.0839,0.0864,0.0766,0.1082,0.0758,0.08310000000000001,0.0681,0.0746,0.0604,0.064,0.1207,0.0,KLBF
Interest Coverage (Quarter),25.92,31.89,51.03,57.13,93.39,81.91,89.07,87.43,71.73,66.62,56.85,45.02,32.75,33.75,54.09,63.32,76.51,92.35,111.57,120.05,135.54,94.98,103.31,87.24,69.92,99.42,104.59,116.86,86.07,98.68,155.76,2233.75,66.31,87.2,103.11,66.14,41.66,52.31,56.87,68.37,74.74,120.51,125.57,88.23,140.1,150.11,178.32,108.07,132.51,175.38,307.02,71.46,68.4,96.38,159.95,66.58,34.22,19.78,19.69,21.54,22.19,22.7,21.48,0.0,KLBF
Share Outstanding,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,15270000000.0,BBNI
EPS (Quarter),292.33,272.47,279.94,247.73,262.16,259.59,212.47,169.03,145.84,141.67,127.88,-55.72,-7.33,10.92,228.04,182.94,232.66,190.82,218.55,191.82,214.56,203.28,195.5,185.5,200.75,170.89,173.02,194.21,179.4,74.99,159.41,164.55,191.33,-20.75,151.05,170.05,143.46,136.39,128.3,135.02,121.09,118.46,110.95,107.72,93.91,93.61,82.59,94.77,71.29,79.21,67.14,61.54,66.82,59.47,67.21,41.37,42.71,37.07,41.65,25.42,26.1,18.58,10.16,59.04,BBNI
PE Ratio (Quarter),35.32,33.58,33.4,37.24,34.23,30.24,38.83,39.93,36.86,32.68,44.77,-110.82,-605.73,419.41,16.75,42.91,31.59,48.21,43.01,45.88,34.49,34.68,44.37,53.37,36.86,38.62,37.42,28.45,30.94,69.34,32.62,30.33,21.61,-255.42,47.83,35.87,38.51,34.94,38.66,29.25,33.65,36.3,45.52,34.35,41.8,40.86,48.43,40.1,52.25,48.92,59.2,62.97,52.14,37.46,32.09,45.37,47.16,44.0,16.4,25.37,35.25,61.73,129.72,31.64,BBNI
Price to Sales (Quarter),10.78,10.08,10.55,10.15,10.87,9.95,11.13,8.69,7.37,6.04,7.89,7.19,5.5,6.14,4.31,8.95,8.35,10.97,10.77,10.0,8.97,8.97,11.81,12.58,9.78,9.32,9.24,7.76,7.54,8.51,8.83,8.32,7.7,10.49,14.06,12.1,11.33,10.47,11.78,9.41,10.57,11.89,15.03,10.82,12.31,12.05,13.19,13.5,11.55,13.25,14.79,15.15,10.78,6.46,6.35,5.56,6.26,4.71,2.04,1.95,3.22,4.26,5.19,1.83,BBNI
EBITDA (Quarter),7366010000000.0,6829900000000.0,7105880000000.0,6562940000000.0,6659250000000.0,7071960000000.0,5467840000000.0,3515630000000.0,3901030000000.0,3806760000000.0,3550770000000.0,249460000000.0,609860000000.0,1038810000000.0,5910030000000.0,4736520000000.0,5821800000000.0,4826660000000.0,5488130000000.0,5502090000000.0,5350990000000.0,5072530000000.0,4875090000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBNI
Return on Assets (Quarter),0.0054,0.005,0.005200000000000001,0.0045000000000000005,0.005200000000000001,0.0051,0.0043,0.0033000000000000004,0.003,0.003,0.0028000000000000004,-0.0012,-0.0001,0.0002,0.0049,0.004,0.0053,0.0042,0.0051,0.0044,0.005200000000000001,0.005200000000000001,0.005200000000000001,0.0049,0.005600000000000001,0.005,0.005200000000000001,0.006,0.0059,0.0026000000000000003,0.0058,0.006,0.0078000000000000005,-0.0009,0.0069,0.0076,0.006600000000000001,0.0062,0.0064,0.006500000000000001,0.0062,0.0064,0.006500000000000001,0.006,0.005600000000000001,0.0055000000000000005,0.0053,0.0059,0.005,0.005699999999999999,0.0051,0.0046,0.0045000000000000005,0.004,0.0048,0.0028000000000000004,0.0032,0.0028000000000000004,0.0032,0.0019,0.0022,0.0016,0.001,0.0049,BBNI
